date_amazon,date,id,price,price_online,price_amazon,sale_online,product_online,product_amazon,merchant,URL,imputed,COMMENTS,PRICETYPE,datediff,cat_id,category,retailer_id,retailer_s
6/8/2016,6/3/2016,072042709,44.99,44.99,25.53,,"Hamilton Beach Breakfast Burrito Maker""","Hamilton Beach 25495 Breakfast Burrito Maker, Silver",Ships from and sold by Amazon.com. Gift-wrap available.,http://www.amazon.com/Hamilton-Beach-25495-Breakfast-Burrito/dp/B014XQWOFK?ie=UTF8&keywords=Hamilton%20Beach%20Breakfast%20Burrito%20Maker%26%2334%3B&m=ATVPDKIKX0DER&qid=1465358826&ref_=sr_1_1&sr=8-1,,,Regular Price,5,9999,Mix,53,USA_53
1/7/2016,1/5/2016,025020476,16,,15.99,,ASSETS® by Sara Blakely a Spanx® Brand Women‘s...,Assets By Sara Blakely a Spanx Brand Women's Chic Peek Mid-thigh 1155,,http://www.amazon.com/Assets-Blakely-Womens-Mid-thigh-1155/dp/B004MBDSX4/ref=sr_1_1/191-7857644-1444457?ie=UTF8&qid=1452226209&sr=8-1&keywords=ASSETS%C2%AE+by+Sara+Blakely+a+Spanx%C2%AE+Brand+Women%C2%91s...,,,Regular Price,2,9999,Mix,53,USA_53
5/25/2016,5/24/2016,053240135,6.99,6.99,6.99,,"Fred Frozen Smiles Ice Cube Tray""",Fred & Friends FROZEN SMILES Ice Tray,Ships from and sold by Amazon.com. Gift-wrap available.,http://www.amazon.com/Fred-Friends-FROZEN-SMILES-Tray/dp/B0015MSY32/ref=sr_1_1?m=ATVPDKIKX0DER&ie=UTF8&qid=1464212831&sr=8-1&keywords=Fred+Frozen+Smiles+Ice+Cube+Tray%22,1,,Regular Price,1,9999,Mix,53,USA_53
6/10/2016,6/5/2016,008061507,89.99,89.99,85.13,1,"Roku 3 Streaming Media Player - Black (4230R)""",Roku 3 Streaming Media Player (4230R) with Voice Search (2015 model),Ships from and sold by Amazon.com. Gift-wrap available.,https://www.amazon.com/Roku-Streaming-Player-4230R-Search/dp/B00UJ3IULO/ref=sr_1_1?m=ATVPDKIKX0DER&ie=UTF8&qid=1465531703&sr=8-1&keywords=Roku+3+Streaming+Media+Player+-+Black+%284230R%29%22,,,Sale/Discounted Price,5,9999,Mix,53,USA_53
1/16/2015,1/9/2015,746775321543,19.99,13.59,24.95,,Apples To Apples Party Box,Apples to Apples Party Box - The Game of Crazy Combinations (Family Edition),Sold by SenecaHills and Fulfilled by Amazon .          Gift-wrap available.,http://www.amazon.com/Apples-Party-Box-Combinations-Edition/dp/B00112CHCK/ref=sr_1_1/175-5422727-9675528?ie=UTF8&qid=1421468322&sr=8-1&keywords=Apples+To+Apples+Party+Box,,,,7,9999,Mix,53,USA_53
1/20/2015,1/18/2015,097855077455,34.99,34.99,34.99,,Logitech MK360 Wireless Keyboard and Mouse Set -...,Logitech Mk360 Wireless Combo (920-003376),Ships from and sold by Amazon.com. Gift-wrap available.,http://www.amazon.com/Logitech-Mk360-Wireless-Combo-920-003376/dp/B00L1Y11D4/ref=sr_1_1?ie=UTF8&qid=1421815208&sr=8-1&keywords=Logitech+MK360+Wireless+Keyboard+and+Mouse+Set+-...,,,,2,9999,Mix,53,USA_53
6/7/2016,6/3/2016,072000554,28.99,,13.38,,"Brita Pitcher Filter Refills""","Brita Water Filter Pitcher Advanced Replacement Filters, 3 Count (Packaging May Vary)",Ships from and sold by Amazon.com in easy-to-open packaging. Gift-wrap available.,http://www.amazon.com/Brita-Advanced-Replacement-Filters-Packaging/dp/B00004SU18?ie=UTF8&keywords=Brita%20Pitcher%20Filter%20Refills%26%2334%3B&m=ATVPDKIKX0DER&qid=1465358001&ref_=sr_1_1&sr=8-1,,,Regular Price,4,9999,Mix,53,USA_53
1/16/2015,1/15/2015,603084055937,6.99,,6.59,,Garnier Nutrisse Hair Color,"Garnier Nutrisse Nourishing Color Crème, 50 Medium Natural Brown Truffle",Ships from and sold by Amazon.com.          Gift-wrap available.,http://www.amazon.com/Garnier-Nutrisse-Nourishing-Natural-Truffle/dp/B000GCSY64/ref=sr_1_1/189-4347471-9178064?ie=UTF8&qid=1421468191&sr=8-1&keywords=Garnier+Nutrisse+Hair+Color,,,,1,9999,Mix,53,USA_53
12/22/2014,12/18/2014,887768205324,11.39,12.99,14.99,,Wilson NCAA Mini Hoop & Basketball Kit,Wilson NCAA Mini Basketball Hoop,Ships from and sold by Amazon.com.          Gift-wrap available.,http://www.amazon.com/Wilson-NCAA-Mini-Basketball-Hoop/dp/B00JG1VQFW/ref=sr_1_1/176-3777671-9438815?ie=UTF8&qid=1419308380&sr=8-1&keywords=Wilson+NCAA+Mini+Hoop,1,,,4,9999,Mix,53,USA_53
2/13/2015,2/12/2015,490600207754,24.99,,29.99,,Circo® Score! Sheet Set,Circo Score Touchdown Sports Sheet Set - Twin,Ships from and sold by trendywatch.,http://www.amazon.com/Circo-Score-Touchdown-Sports-Sheet/dp/B009A0A8FS/ref=sr_1_1?ie=UTF8&qid=1423805454&sr=8-1&keywords=Circo%C2%AE+Score%21+Sheet+Set,,,,1,9999,Mix,53,USA_53
1/29/2016,1/25/2016,094040934,18.99,,12.9,,Claritin 24hr Tablets,"Claritin Allergy 24 hr, 10mg, 40-Count Tablets",,http://www.amazon.com/Claritin-Allergy-10mg-40-Count-Tablets/dp/B0026MRY0Y/ref=sr_1_1?ie=UTF8&qid=1454127649&sr=8-1&keywords=Claritin+24hr+Tablets,,,Regular Price,4,9999,Mix,53,USA_53
